epoch,box,cls,kpt,Recall,Precision,mAP@50,F1,mAP
372,0.479,0.224,0.104,0.449,0.795,0.504,0.574,0.257
373,0.480,0.226,0.105,0.449,0.794,0.504,0.574,0.257
374,0.473,0.223,0.103,0.449,0.796,0.504,0.574,0.257
375,0.452,0.215,0.101,0.449,0.796,0.504,0.574,0.257
376,0.443,0.214,0.101,0.449,0.796,0.504,0.574,0.257
377,0.458,0.220,0.103,0.449,0.795,0.504,0.574,0.257
378,0.462,0.217,0.102,0.450,0.795,0.505,0.574,0.257
379,0.459,0.217,0.103,0.450,0.795,0.505,0.575,0.258
380,0.472,0.217,0.103,0.450,0.795,0.505,0.575,0.258
381,0.447,0.214,0.101,0.450,0.796,0.505,0.575,0.258
382,0.462,0.218,0.103,0.450,0.796,0.505,0.575,0.258
383,0.464,0.221,0.103,0.450,0.796,0.505,0.575,0.258
384,0.466,0.224,0.104,0.451,0.796,0.505,0.575,0.258
385,0.469,0.220,0.104,0.451,0.797,0.505,0.576,0.258
386,0.451,0.216,0.101,0.450,0.798,0.506,0.576,0.258
387,0.443,0.213,0.099,0.451,0.799,0.506,0.576,0.258
388,0.456,0.217,0.101,0.451,0.796,0.506,0.576,0.258
389,0.465,0.219,0.103,0.451,0.797,0.506,0.576,0.258
390,0.453,0.217,0.101,0.451,0.796,0.506,0.576,0.258
391,0.451,0.216,0.102,0.451,0.796,0.506,0.576,0.258
392,0.456,0.219,0.103,0.451,0.796,0.506,0.576,0.258
393,0.458,0.218,0.102,0.451,0.796,0.506,0.576,0.258
394,0.466,0.220,0.104,0.452,0.795,0.506,0.576,0.258
395,0.466,0.224,0.107,0.451,0.795,0.506,0.576,0.258
396,0.458,0.222,0.104,0.452,0.795,0.507,0.576,0.258
397,0.458,0.218,0.102,0.452,0.794,0.506,0.576,0.258
398,0.448,0.214,0.101,0.452,0.793,0.506,0.576,0.258
399,0.458,0.214,0.103,0.452,0.794,0.506,0.576,0.258
400,0.447,0.216,0.100,0.452,0.794,0.507,0.576,0.258
401,0.460,0.217,0.102,0.452,0.793,0.507,0.576,0.258
402,0.462,0.218,0.102,0.452,0.795,0.507,0.576,0.258
403,0.454,0.217,0.101,0.452,0.794,0.507,0.576,0.258
404,0.471,0.223,0.104,0.452,0.794,0.507,0.576,0.258
405,0.472,0.222,0.102,0.452,0.794,0.507,0.576,0.258
406,0.460,0.220,0.102,0.452,0.794,0.507,0.576,0.259
